student_Id,work_time1,work_time2,work_time3,work_time4,work_time5,work_time6,mouse_wheel1,mouse_wheel2,mouse_wheel3,mouse_wheel4,mouse_wheel5,mouse_wheel6,mouse_wheel_click1,mouse_wheel_click2,mouse_wheel_click3,mouse_wheel_click4,mouse_wheel_click5,mouse_wheel_click6,mouse_click_left1,mouse_click_left2,mouse_click_left3,mouse_click_left4,mouse_click_left5,mouse_click_left6,mouse_click_right1,mouse_click_right2,mouse_click_right3,mouse_click_right4,mouse_click_right5,mouse_click_right6,mouse_movement1,mouse_movement2,mouse_movement3,mouse_movement4,mouse_movement5,mouse_movement6,keystroke1,keystroke2,keystroke3,keystroke4,keystroke5,keystroke6,Session 2,Session 3,Session 4,Session 5,Session 6,pass_IND
2,4215.0,8500.0,9741.0,4095.0,5128.0,5706.0,0.0,0.0,1379.0,826.0,1570.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3696.0,5543.0,1857.0,2211.0,2812.0,0.0,98.0,304.0,82.0,164.0,104.0,45.0,69226.0,259130.0,91633.0,122581.0,165494.0,1047.0,5151.0,4873.0,2232.0,3142.0,1140.0,4.0,3.5,4.5,4.0,1.0,0
5,4071.0,7754.0,8489.0,3252.0,5037.0,9027.0,586.0,1538.0,2069.0,489.0,1138.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,4303.0,2703.0,1419.0,1924.0,4857.0,10.0,65.0,117.0,74.0,130.0,114.0,207317.0,317737.0,273721.0,119589.0,198103.0,427595.0,1207.0,5450.0,7433.0,2369.0,2701.0,1552.0,5.0,4.0,5.0,4.0,2.75,0
7,5086.0,7975.0,9421.0,4893.0,3465.0,8999.0,0.0,2145.0,728.0,342.0,1088.0,968.0,18.0,0.0,0.0,0.0,2.0,0.0,2238.0,2733.0,3761.0,1068.0,1088.0,3533.0,64.0,168.0,390.0,34.0,82.0,96.0,107269.0,207043.0,156059.0,61183.0,84820.0,241519.0,1745.0,3873.0,5159.0,3270.0,3491.0,727.0,4.0,4.0,4.5,4.0,2.0,1
10,4660.0,7736.0,8413.0,4976.0,5269.0,8151.0,573.0,1305.0,517.0,957.0,2577.0,1131.0,0.0,0.0,4.0,0.0,0.0,0.0,2244.0,3830.0,4709.0,5112.0,3855.0,4846.0,171.0,320.0,358.0,48.0,146.0,86.0,145381.0,226786.0,262458.0,183880.0,175403.0,246180.0,653.0,4299.0,2982.0,2394.0,2744.0,980.0,5.0,4.0,4.5,4.0,3.0,0
11,4908.0,8785.0,9968.0,2459.0,3959.0,9095.0,312.0,1153.0,153.0,539.0,888.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.0,2987.0,323.0,1429.0,1826.0,4583.0,149.0,274.0,2.0,15.0,132.0,62.0,219138.0,302207.0,26362.0,125858.0,195455.0,381456.0,458.0,3534.0,2609.0,2138.0,1887.0,1084.0,4.0,2.0,5.0,4.0,1.5,1
12,4548.0,7116.0,8324.0,4630.0,6768.0,9606.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.0,1865.0,2741.0,2075.0,1580.0,2764.0,129.0,141.0,316.0,0.0,88.0,20.0,71674.0,52496.0,73022.0,50387.0,50807.0,75634.0,901.0,2276.0,4002.0,570.0,2771.0,988.0,3.5,3.5,4.5,4.0,2.0,0
15,5076.0,7066.0,9503.0,2680.0,3126.0,9128.0,0.0,0.0,3002.0,632.0,1372.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,3123.0,2350.0,3947.0,1279.0,1451.0,4743.0,194.0,144.0,390.0,0.0,66.0,24.0,118293.0,91464.0,220333.0,81667.0,92366.0,283700.0,1232.0,2828.0,4642.0,1475.0,2148.0,711.0,2.0,4.0,5.0,4.0,2.0,1
17,1338.0,8366.0,9024.0,5068.0,6677.0,8514.0,0.0,0.0,0.0,948.0,1539.0,765.0,0.0,0.0,0.0,0.0,0.0,2.0,1085.0,5.0,2253.0,1919.0,1986.0,3811.0,105.0,0.0,278.0,30.0,108.0,42.0,32802.0,315.0,62239.0,99239.0,135177.0,215906.0,907.0,5713.0,6078.0,2588.0,4711.0,1186.0,3.5,3.5,5.0,4.0,4.0,1
20,6382.0,7786.0,8569.0,3557.0,5946.0,9790.0,0.0,905.0,0.0,2133.0,905.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2869.0,2411.0,3420.0,2024.0,4247.0,4866.0,55.0,40.0,25.0,105.0,86.0,42.0,135512.0,129508.0,130108.0,176148.0,248273.0,192273.0,1116.0,2941.0,5178.0,733.0,2477.0,832.0,3.0,3.0,4.5,3.5,2.0,1
28,2533.0,8917.0,10226.0,5806.0,4598.0,10365.0,0.0,0.0,0.0,825.0,1309.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,2953.0,3022.0,1355.0,1201.0,4570.0,97.0,274.0,311.0,7.0,94.0,68.0,63007.0,87492.0,156672.0,92511.0,92136.0,306893.0,46.0,4216.0,6526.0,3912.0,2578.0,1360.0,6.0,4.0,5.0,4.0,3.0,1
